Symbol,CompanyName,Sector,FirstDate,LastDate,TradingDays,MaxHigh,MinLow,LatestClose,TotalVolume,TotalValue
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power,2024-12-03,2025-12-03,226,475.9,216.0,248.0,11274782,4183776006.6
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance,2024-12-03,2025-12-03,226,1270.0,936.6,1110.0,1404354,1544348697.8
KPCL,Kalika power Company Ltd,Hydro Power,2024-12-03,2025-12-03,226,711.0,490.0,559.0,13757282,8186926724.5
KRBL,Karnali Development Bank Limited,Development Banks,2024-12-03,2025-12-03,226,863.0,746.0,810.0,983965,795915617.0
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks,2024-12-03,2025-12-03,226,588.0,404.1,433.1,14111425,6995388820.4
KSBBLD87,Kamana Sewa Bikas Bank Limited,Development Banks,2024-12-03,2025-12-03,226,1178.1,1041.3,1142.0,8912,9777817.2
KSY,Kumari Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,10.64,8.21,8.64,7255403,71804188.42
LBBL,Lumbini Bikas Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,646.3,376.5,444.9,29415368,14973080542.199999
LBBLD89,Lumbini Bikas Bank Ltd.,Development Banks,2024-12-03,2025-12-03,226,1340.0,1082.0,1340.0,98595,120771943.6
LBLD86,Laxmi Sunrise Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1172.1,1075.2,1131.0,1429,1596904.9
LBLD88,Laxmi Sunrise Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1122.0,1013.1,1122.0,1309,1381587.8
LEC,Liberty Energy Company Limited,Hydro Power,2024-12-03,2025-12-03,226,263.0,180.0,193.0,39343900,8817792164.0
LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance,2024-12-03,2025-12-03,226,1606.0,773.0,891.1,6237145,6527703294.65
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,2024-12-03,2025-12-03,226,1367.3,865.0,1005.0,638629,728409439.9
LSL,Laxmi Sunrise Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,252.9,201.0,232.0,32678089,7426654312.8
LUK,Laxmi Capital Market Limited,Mutual Fund,2024-12-03,2025-12-03,226,11.97,8.97,9.12,8831903,92661998.35
LVF2,Laxmi Sunrise Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,11.45,8.76,9.01,13472092,137263545.02
MABEL,Mabilung Energy Limited,Hydro Power,2025-11-04,2025-12-03,22,805.0,317.7,774.0,1100873,709561374.9
MAKAR,Makar Jitumaya Suri Hydropower Ltd ,Hydro Power,2024-12-03,2025-12-03,226,860.0,520.0,548.1,3271960,2320700360.3
MANDU,Mandu Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,1027.0,766.5,816.0,1294579,1182097110.7
MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,2024-12-03,2025-12-03,226,1464.8,930.1,955.0,539754,655836840.3
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power,2024-12-03,2025-12-03,226,405.0,270.0,292.3,14541166,4864344993.8
MBL,Machhapuchhre Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,272.1,205.0,219.0,24583292,5841228558.8
MBLD2085,Machhapuchhre Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1294.0,1115.2,1176.1,972,1153207.08
MBLD87,Machhapuchhre Bank Limited,Commercial Banks,2024-12-03,2025-12-03,226,1150.0,1020.0,1111.0,6767,7222628.2
MBLEF,Machhapuchhre Bank Limited,Commercial Banks,2025-05-22,2025-12-03,118,10.19,8.59,9.1,2225383,20857312.79
MCHL,Menchhiyam Hydro Power Ltd,Hydro Power,2024-12-03,2025-12-03,226,714.0,450.4,484.0,2276423,1375451128.2
MDB,Miteri Development Bank Limited,Development Banks,2024-12-03,2025-12-03,226,810.0,530.5,578.0,8458174,5671030117.8
MEHL,Manakamana Engineering Hydropower Limited,Hydro Power,2024-12-03,2025-12-03,226,696.0,372.4,483.5,6831506,3526998417.99
MEL,Modi Energy Limited,Hydro Power,2024-12-03,2025-12-03,226,393.0,259.8,289.4,12116871,3993105257.51
MEN,Mountain Energy Nepal Limited,Hydro Power,2024-12-03,2025-12-03,226,758.0,552.4,554.5,21799664,13610575567.28
MERO,Meromicrofinance Laghubitta Bittiya Sanstha Ltd.,Microfinance,2024-12-03,2025-12-03,226,1000.0,648.0,772.9,5626207,4612038449.6
