Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-08,965.0,942.0,953.52,63711,60474381.4,332
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-09,960.0,945.0,956.72,36088,34492700.2,249
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-10,970.0,950.0,955.37,51449,49360035.3,370
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-13,990.0,950.4,952.07,61886,59382777.2,408
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-14,965.0,947.0,949.19,31652,30169109.8,212
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-15,970.0,946.0,960.45,41112,39522070.7,313
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-16,970.0,951.0,956.02,50778,48878111.1,321
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-17,1009.0,965.0,995.64,85971,85164651.3,671
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-20,1038.0,990.0,1015.06,154667,157060695.9,1038
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-21,1065.0,1001.1,1061.48,275925,288738314.7,1647
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-22,1099.9,1073.0,1096.17,195971,212993361.1,1269
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-23,1125.0,1065.0,1116.94,199361,218251426.1,1486
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-24,1140.0,1100.0,1129.73,186929,209617744.6,1107
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-27,1150.0,1065.0,1090.86,225372,249484272.1,1521
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-28,1115.0,1072.2,1100.84,183126,199537587.2,992
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-29,1120.2,1090.0,1097.19,104397,115331856.1,695
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-30,1109.0,1060.6,1063.86,133426,143699666.2,786
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-07-31,1080.0,1030.1,1039.2,124905,131536542.9,800
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-03,1050.0,998.0,1000.08,196799,199574738.4,930
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-04,1014.0,990.2,1002.82,121056,121305413.6,584
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-05,1028.1,991.0,998.24,72548,72923045.3,432
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-06,1002.0,985.6,990.21,34597,34325246.5,250
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-07,1009.0,991.1,1003.49,39763,39829833.0,280
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-11,1011.0,974.2,985.27,51755,51353174.9,377
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-12,993.8,975.3,979.68,30251,29682617.7,281
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-13,999.0,971.0,979.39,28248,27784575.2,235
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-14,997.0,975.0,981.5,36260,35735907.1,220
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-17,1035.0,982.0,991.58,29900,29612769.6,252
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-18,1005.0,985.1,990.59,32323,32091078.1,255
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-19,999.0,977.1,981.44,29524,29060101.0,225
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-20,1063.0,982.1,1054.3,187779,194066813.1,1379
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-21,1068.0,1041.0,1058.06,96275,101517570.7,768
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-24,1058.5,1021.0,1024.41,94909,98038758.0,467
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-25,1055.0,1010.0,1040.04,124829,129663888.6,514
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-26,1044.0,1030.0,1038.15,22195,22966711.2,215
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-27,1070.7,1038.0,1062.66,116127,122566297.9,560
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-28,1104.0,1042.4,1056.49,178031,189023634.0,736
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-08-31,1055.5,1025.0,1027.38,38015,39434753.4,321
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-09-01,1050.0,1021.5,1042.87,50624,52173655.2,269
CGH,Chandragiri Hills Limited,Hotels And Tourism,2025-09-02,1060.0,1022.0,1023.2,29620,30535133.7,230
